date,state,State Date,fips,cases,deaths,population,CaseCapita,DeathCapita,Pact
2020-03-03,Wisconsin,Wisconsin43893,55,1,0,5851750,1.70889E-07,0,Midwest
2020-03-04,Arizona,Arizona43894,4,2,0,7378490,2.71058E-07,0,N/A
2020-03-04,California,California43894,6,55,1,39937500,1.37715E-06,2.50391E-08,Western
2020-03-04,Florida,Florida43894,12,3,0,21993000,1.36407E-07,0,N/A
2020-03-04,Georgia,Georgia43894,13,2,0,10736100,1.86287E-07,0,N/A
2020-03-04,Illinois,Illinois43894,17,4,0,12659700,3.15963E-07,0,Midwest
2020-03-04,Massachusetts,Massachusetts43894,25,2,0,6976600,2.86673E-07,0,Northeast
2020-03-04,Nebraska,Nebraska43894,31,13,0,1952570,6.65789E-06,0,N/A
2020-03-04,New Hampshire,New Hampshire43894,33,2,0,1371250,1.45852E-06,0,N/A
2020-03-04,New Jersey,New Jersey43894,34,1,0,8936570,1.119E-07,0,Northeast
2020-03-04,New York,New York43894,36,11,0,19440500,5.65829E-07,0,Northeast
2020-03-04,North Carolina,North Carolina43894,37,1,0,10611900,9.42338E-08,0,N/A
2020-03-04,Oregon,Oregon43894,41,2,0,4301090,4.64998E-07,0,Western
2020-03-04,Rhode Island,Rhode Island43894,44,2,0,1056160,1.89365E-06,0,Northeast
2020-03-04,Texas,Texas43894,48,12,0,29472300,4.07162E-07,0,N/A
2020-03-04,Utah,Utah43894,49,1,0,3282120,3.04681E-07,0,N/A
2020-03-04,Washington,Washington43894,53,47,11,7797100,6.02788E-06,1.41078E-06,Western
2020-03-04,Wisconsin,Wisconsin43894,55,1,0,5851750,1.70889E-07,0,Midwest
2020-03-05,Arizona,Arizona43895,4,2,0,7378490,2.71058E-07,0,N/A
2020-03-05,California,California43895,6,67,1,39937500,1.67762E-06,2.50391E-08,Western
2020-03-05,Colorado,Colorado43895,8,2,0,5845530,3.42142E-07,0,Western
2020-03-05,Florida,Florida43895,12,4,0,21993000,1.81876E-07,0,N/A
2020-03-05,Georgia,Georgia43895,13,2,0,10736100,1.86287E-07,0,N/A
2020-03-05,Illinois,Illinois43895,17,5,0,12659700,3.94954E-07,0,Midwest
2020-03-05,Maryland,Maryland43895,24,3,0,6083120,4.93168E-07,0,N/A
2020-03-05,Massachusetts,Massachusetts43895,25,3,0,6976600,4.30009E-07,0,Northeast
2020-03-05,Nebraska,Nebraska43895,31,13,0,1952570,6.65789E-06,0,N/A
2020-03-05,Nevada,Nevada43895,32,2,0,3139660,6.37012E-07,0,Western
2020-03-05,New Hampshire,New Hampshire43895,33,2,0,1371250,1.45852E-06,0,N/A
2020-03-05,New Jersey,New Jersey43895,34,2,0,8936570,2.238E-07,0,Northeast
2020-03-05,New York,New York43895,36,22,0,19440500,1.13166E-06,0,Northeast
2020-03-05,North Carolina,North Carolina43895,37,1,0,10611900,9.42338E-08,0,N/A
2020-03-05,Oregon,Oregon43895,41,2,0,4301090,4.64998E-07,0,Western
2020-03-05,Rhode Island,Rhode Island43895,44,2,0,1056160,1.89365E-06,0,Northeast
2020-03-05,Tennessee,Tennessee43895,47,1,0,6897580,1.44978E-07,0,N/A
2020-03-05,Texas,Texas43895,48,16,0,29472300,5.42883E-07,0,N/A
2020-03-05,Utah,Utah43895,49,1,0,3282120,3.04681E-07,0,N/A
